names,description,classification,drug_id,productNames
Ramipril,"Ramipril is a prodrug belonging to the angiotensin-converting enzyme (ACE) inhibitor class of medications. It is metabolized to ramiprilat in the liver and, to a lesser extent, kidneys. Ramiprilat is a potent, competitive inhibitor of ACE, the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Ramipril may be used in the treatment of hypertension, congestive heart failure, nephropathy, and to reduce the rate of death, myocardial infarction and stroke in individuals at high risk of cardiovascular events.","This compound belongs to the class of organic compounds known as dipeptides. These are organic compounds containing a sequence of exactly two alpha-amino acids joined by a peptide bond.DipeptidesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAlpha amino acid amidesAlpha amino acid estersAmino acidsAralkylaminesAzacyclic compoundsBenzene and substituted derivativesCarbonyl compoundsCarboxylic acid estersCarboxylic acidsDialkylaminesDicarboxylic acids and derivativesFatty acid estersHydrocarbon derivativesN-acyl-L-alpha-amino acidsN-acylpyrrolidinesOrganic oxidesOrganopnictogen compoundsPyrrolidine carboxylic acidsTertiary carboxylic acid amidesAlpha-amino acid amideAlpha-amino acid esterAlpha-amino acid or derivativesAlpha-dipeptideAmineAmino acidAmino acid or derivativesAralkylamineAromatic heteropolycyclic compoundAzacycleBenzenoidCarbonyl groupCarboxamide groupCarboxylic acidCarboxylic acid esterDicarboxylic acid or derivativesFatty acid esterFatty acylHydrocarbon derivativeMonocyclic benzene moietyN-acyl-alpha amino acid or derivativesN-acyl-alpha-amino acidN-acyl-l-alpha-amino acidN-acylpyrrolidineOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganoheterocyclic compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPyrrolidinePyrrolidine carboxylic acidPyrrolidine carboxylic acid or derivativesSecondary aliphatic amineSecondary amineTertiary carboxylic acid amide",DB00178,Ach-ramipril
Masoprocol,"A potent lipoxygenase inhibitor that interferes with arachidonic acid metabolism. The compound also inhibits formyltetrahydrofolate synthetase, carboxylesterase, and cyclooxygenase to a lesser extent. It also serves as an antioxidant in fats and oils. [PubChem]","This compound belongs to the class of organic compounds known as dibenzylbutane lignans. These are lignan compounds containing a 2,3-dibenzylbutane moiety.Dibenzylbutane lignansOrganic compoundsLignans, neolignans and related compoundsDibenzylbutane lignans1-hydroxy-2-unsubstituted benzenoids1-hydroxy-4-unsubstituted benzenoidsCatecholsHydrocarbon derivativesOrganooxygen compoundsPhenylpropanes1-hydroxy-2-unsubstituted benzenoid1-hydroxy-4-unsubstituted benzenoidAromatic homomonocyclic compoundBenzenoidCatecholDibenzylbutane lignan skeletonHydrocarbon derivativeMonocyclic benzene moietyOrganic oxygen compoundOrganooxygen compoundPhenolPhenylpropane",DB00179,NA
Flunisolide,"Flunisolide (marketed as AeroBid, Nasalide, Nasarel) is a corticosteroid with anti-inflammatory actions. It is often prescribed as treatment for allergic rhinitis and its principle mechanism of action involves activation of glucocorticoid receptors.","This compound belongs to the class of organic compounds known as 21-hydroxysteroids. These are steroids carrying a hydroxyl group at the 21-position of the steroid backbone.21-hydroxysteroidsOrganic compoundsLipids and lipid-like moleculesSteroids and steroid derivativesHydroxysteroids1,3-dioxolanes11-beta-hydroxysteroids20-oxosteroids3-oxo delta-1,4-steroidsAlkyl fluoridesAlpha-hydroxy ketonesCyclic alcohols and derivativesCyclic ketonesDelta-1,4-steroidsGluco/mineralocorticoids, progestogins and derivativesHalogenated steroidsHydrocarbon derivativesKetalsOrganic oxidesOrganofluoridesOxacyclic compoundsPrimary alcoholsSecondary alcohols11-beta-hydroxysteroid11-hydroxysteroid20-oxosteroid21-hydroxysteroid3-oxo-delta-1,4-steroid3-oxosteroid6-halo-steroidAcetalAlcoholAliphatic heteropolycyclic compoundAlkyl fluorideAlkyl halideAlpha-hydroxy ketoneCarbonyl groupCyclic alcoholCyclic ketoneDelta-1,4-steroidHalo-steroidHydrocarbon derivativeKetalKetoneMeta-dioxolaneOrganic oxideOrganic oxygen compoundOrganofluorideOrganohalogen compoundOrganoheterocyclic compoundOrganooxygen compoundOxacycleOxosteroidPregnane-skeletonPrimary alcoholProgestogin-skeletonSecondary alcohol",DB00180,Aerobid
Baclofen,"Baclofen is a gamma-aminobutyric acid (GABA) agonist used as a skeletal muscle relaxant. Although originally designed in 1962 to treat epilepsy, baclofen was not effective in treating this condition but instead was shown to reduce spasticity in selected patients.[A245338] Baclofen was reintroduced in 1971 as a treatment for spasticity and was later approved by the FDA in 1977.[A245323, A245338] Baclofen is used to manage severe muscle spasms of cerebral or spinal cord origins, including multiple sclerosis and traumatic brain injury.[L39429]

Baclofen was investigated for use in alcohol dependence and withdrawal; however, evidence is limited and there is inconsistent evidence to suggest its clinical efficacy in managing alcohol dependence or withdrawal symptoms.[A173905, A173908, A245338]","This compound belongs to the class of organic compounds known as gamma amino acids and derivatives. These are amino acids having a (-NH2) group attached to the gamma carbon atom.Gamma amino acids and derivativesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analoguesAmino acidsAmino fatty acidsAralkylaminesAryl chloridesCarbonyl compoundsCarboxylic acidsChlorobenzenesHydrocarbon derivativesMonoalkylaminesMonocarboxylic acids and derivativesOrganic oxidesOrganochloridesOrganopnictogen compoundsPhenylpropanoic acids3-phenylpropanoic-acidAmineAmino acidAmino fatty acidAralkylamineAromatic homomonocyclic compoundAryl chlorideAryl halideBenzenoidCarbonyl groupCarboxylic acidChlorobenzeneFatty acylGamma amino acid or derivativesHalobenzeneHydrocarbon derivativeMonocarboxylic acid or derivativesMonocyclic benzene moietyOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganochlorideOrganohalogen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPrimary aliphatic aminePrimary amine",DB00181,Apo-baclofen
Amphetamine,"Amphetamine, a compound discovered over 100 years ago, is one of the more restricted controlled drugs. It was previously used for a large variety of conditions and this changed until this point where its use is highly restricted. Amphetamine, with the chemical formula alpha-methylphenethylamine, was discovered in 1910 and first synthesized by 1927. After being proven to reduce drug-induced anesthesia and produce arousal and insomnia, amphetamine racemic mix was registered by Smith, Kline and French in 1935. Amphetamine structure presents one chiral center and it exists in the form of dextro- and levo-isomers.[A18540] The first product of Smith, Kline and French was approved by the FDA on 1976.[L5194]

During World War II, amphetamine was used to promote wakefulness in the soldiers. This use derived into a large overproduction of amphetamine and all the surplus after the war finalized ended up in the black market, producing the initiation of the illicit abuse.[A18540]",This compound belongs to the class of organic compounds known as amphetamines and derivatives. These are organic compounds containing or derived from 1-phenylpropan-2-amine.Amphetamines and derivativesOrganic compoundsBenzenoidsBenzene and substituted derivativesPhenethylaminesAralkylaminesHydrocarbon derivativesMonoalkylaminesOrganopnictogen compoundsPhenylpropanesAmineAmphetamine or derivativesAralkylamineAromatic homomonocyclic compoundHydrocarbon derivativeOrganic nitrogen compoundOrganonitrogen compoundOrganopnictogen compoundPhenylpropanePrimary aliphatic aminePrimary amine,DB00182,Adderall
Pentagastrin,"A synthetic pentapeptide that mimics the actions of endogenous gastrin when given parenterally. It works by stimulating the secretion of gastric acid, pepsin, and intrinsic factor. It has also been used as a diagnostic aid.","This compound belongs to the class of organic compounds known as hybrid peptides. These are compounds containing at least two different types of amino acids (alpha, beta, gamma, delta) linked to each other through a peptide bond.Hybrid peptidesOrganic compoundsOrganic acids and derivativesPeptidomimeticsHybrid peptides3-alkylindolesAlpha amino acid amidesAmphetamines and derivativesAspartic acid and derivativesAzacyclic compoundsBeta amino acids and derivativesCarbamate estersCarbonyl compoundsCarboxylic acidsDialkylthioethersHeteroaromatic compoundsHydrocarbon derivativesMethionine and derivativesMonocarboxylic acids and derivativesN-acyl aminesN-acyl-alpha amino acids and derivativesOrganic carbonic acids and derivativesOrganic oxidesOrganonitrogen compoundsOrganopnictogen compoundsPhenylalanine and derivativesPrimary carboxylic acid amidesSecondary carboxylic acid amidesSubstituted pyrrolesSulfenyl compoundsTryptamines and derivatives3-alkylindoleAlpha-amino acid amideAlpha-amino acid or derivativesAmphetamine or derivativesAromatic heteropolycyclic compoundAspartic acid or derivativesAzacycleBenzenoidBeta amino acid or derivativesCarbamic acid esterCarbonic acid derivativeCarbonyl groupCarboxamide groupCarboxylic acidCarboxylic acid derivativeDialkylthioetherFatty acylFatty amideHeteroaromatic compoundHybrid peptideHydrocarbon derivativeIndoleIndole or derivativesMethionine or derivativesMonocarboxylic acid or derivativesMonocyclic benzene moietyN-acyl-alpha amino acid or derivativesN-acyl-amineN-substituted-alpha-amino acidOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganoheterocyclic compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundOrganosulfur compoundPhenylalanine or derivativesPrimary carboxylic acid amidePyrroleSecondary carboxylic acid amideSubstituted pyrroleSulfenyl compoundThioetherTriptan",DB00183,Pentagastrin
Nicotine,Nicotine is highly toxic alkaloid. It is the prototypical agonist at nicotinic cholinergic receptors where it dramatically stimulates neurons and ultimately blocks synaptic transmission. Nicotine is also important medically because of its presence in tobacco smoke.,"This compound belongs to the class of organic compounds known as pyrrolidinylpyridines. These are compounds containing a pyrrolidinylpyridine ring system, which consists of a pyrrolidine ring linked to a pyridine ring.PyrrolidinylpyridinesOrganic compoundsOrganoheterocyclic compoundsPyridines and derivativesPyrrolidinylpyridinesAlkaloids and derivativesAralkylaminesAzacyclic compoundsHeteroaromatic compoundsHydrocarbon derivativesN-alkylpyrrolidinesOrganopnictogen compoundsTrialkylaminesAlkaloid or derivativesAmineAralkylamineAromatic heteromonocyclic compoundAzacycleHeteroaromatic compoundHydrocarbon derivativeN-alkylpyrrolidineOrganic nitrogen compoundOrganonitrogen compoundOrganopnictogen compoundPyrrolidinePyrrolidinylpyridineTertiary aliphatic amineTertiary amine",DB00184,American Fare Nicotine Transdermal System
Cevimeline,Cevimeline is a parasympathomimetic agent that act as an agonist at the muscarinic acetylcholine receptors M1 and M3. It is indicated by the Food and Drug Administration for the treatment of dry mouth associated with Sjögren's syndrome.,This compound belongs to the class of organic compounds known as azaspirodecane derivatives. These are organic compounds containing a spirodecane moiety with at least one nitrogen atom.Azaspirodecane derivativesOrganic compoundsOrganoheterocyclic compoundsAzaspirodecane derivativesAzacyclic compoundsHydrocarbon derivativesMonothioacetalsOrganooxygen compoundsOrganopnictogen compoundsOxacyclic compoundsOxathiolanesPiperidinesQuinuclidinesTrialkylaminesAliphatic heteropolycyclic compoundAmineAzacycleAzaspirodecaneHydrocarbon derivativeMonothioacetalOrganic nitrogen compoundOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundOxacycleOxathiolanePiperidineQuinuclidineTertiary aliphatic amineTertiary amine,DB00185,Cevimeline
Lorazepam,"Lorazepam is a short-acting and rapidly cleared benzodiazepine used commonly as a sedative and anxiolytic.[A957] It was developed by DJ Richards, presented and marketed initially by Wyeth Pharmaceuticals in the USA in 1977. The first historic FDA label approval is reported in 1985 by the company Mutual Pharm.[L5095]","This compound belongs to the class of organic compounds known as 1,4-benzodiazepines. These are organic compounds containing a benzene ring fused to a 1,4-azepine.1,4-benzodiazepinesOrganic compoundsOrganoheterocyclic compoundsBenzodiazepines1,4-benzodiazepinesAlkanolaminesAlpha amino acids and derivativesAryl chloridesAzacyclic compoundsCarbonyl compoundsChlorobenzenesHydrocarbon derivativesKetiminesLactamsOrganic oxidesOrganochloridesOrganopnictogen compoundsPropargyl-type 1,3-dipolar organic compoundsSecondary carboxylic acid amides1,4-benzodiazepineAlkanolamineAlpha-amino acid or derivativesAromatic heteropolycyclic compoundAryl chlorideAryl halideAzacycleBenzenoidCarbonyl groupCarboxamide groupCarboxylic acid derivativeChlorobenzeneHalobenzeneHydrocarbon derivativeImineKetimineLactamMonocyclic benzene moietyOrganic 1,3-dipolar compoundOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganochlorideOrganohalogen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPropargyl-type 1,3-dipolar organic compoundSecondary carboxylic acid amide",DB00186,Apo-lorazepam
Esmolol,"Esmolol, commonly marketed under the trade name Brevibloc, is a cardioselective beta-1 receptor blocker. It has a rapid onset but short duration of action without causing significant intrinsic sympathomimetic or membrane stabilizing activities at recommended therapeutic doses. It works by blocking beta-adrenergic receptors in the heart, which leads to decreased force and rate of heart contractions. Esmolol prevents the action of two naturally occurring substances: epinephrine and norepinephrine.

The FDA withdrew its approval for the use of all parenteral dosage form drug products containing esmolol hydrochloride that supply 250 milligrams/milliliter of concentrated esmolol per 10-milliliter ampule. Other esmolol formulations are still available for use.[L43942]","This compound belongs to the class of organic compounds known as phenol ethers. These are aromatic compounds containing an ether group substituted with a benzene ring.Phenol ethersOrganic compoundsBenzenoidsPhenol ethers1,2-aminoalcoholsAlkyl aryl ethersAmino acids and derivativesCarbonyl compoundsDialkylaminesFatty acid estersHydrocarbon derivativesMethyl estersMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsPhenoxy compoundsSecondary alcohols1,2-aminoalcoholAlcoholAlkyl aryl etherAmineAmino acid or derivativesAromatic homomonocyclic compoundCarbonyl groupCarboxylic acid derivativeCarboxylic acid esterEtherFatty acid esterFatty acylHydrocarbon derivativeMethyl esterMonocarboxylic acid or derivativesMonocyclic benzene moietyOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPhenol etherPhenoxy compoundSecondary alcoholSecondary aliphatic amineSecondary amine",DB00187,Brevibloc
Bortezomib,"Bortezomib is a dipeptide boronic acid derivative and proteasome inhibitor used to treat multiple myeloma and mantle cell lymphoma.[A204083] The 26S proteasome is a protein complex that degrades ubiquitinated proteins in the ubiquitin-proteasome pathway: reversible inhibition of the 26S proteasome, leading to cell cycle arrest and apoptosis of cancer cells, is thought to be the main mechanism of action of bortezomib.[L14180] However, multiple mechanisms may be involved in the anticancer activity of bortezomib.[A204083]

Bortezomib was first synthesized in 1995.[A204083] In May 2003, bortezomib became the first anticancer proteasome inhibitor that was approved by the FDA under the trade name VELCADE.[A204146] Phase I, II, III, and IV clinical trials are undergoing to investigate the therapeutic efficacy of bortezomib in leukemia, myasthenia gravis, systemic lupus erythematosus, rheumatoid arthritis, and solid tumours.[A214307]","This compound belongs to the class of organic compounds known as phenylalanine and derivatives. These are compounds containing phenylalanine or a derivative thereof resulting from reaction of phenylalanine at the amino group or the carboxy group, or from the replacement of any hydrogen of glycine by a heteroatom.Phenylalanine and derivativesOrganic compoundsOrganic acids and derivativesCarboxylic acids and derivativesAmino acids, peptides, and analogues2-heteroaryl carboxamidesAlpha amino acid amidesAmphetamines and derivativesAzacyclic compoundsBoronic acidsCarbonyl compoundsFatty amidesHeteroaromatic compoundsHydrocarbon derivativesMonoalkylboranesN-acyl-alpha amino acids and derivativesOrganic metalloid saltsOrganic oxidesOrganonitrogen compoundsOrganopnictogen compoundsPyrazinecarboxamidesSecondary carboxylic acid amides2-heteroaryl carboxamideAlkylboraneAlpha-amino acid amideAmphetamine or derivativesAromatic heteromonocyclic compoundAzacycleBenzenoidBoronic acidBoronic acid derivativeCarbonyl groupCarboxamide groupFatty acylFatty amideHeteroaromatic compoundHydrocarbon derivativeMonoalkylboraneMonocyclic benzene moietyN-acyl-alpha amino acid or derivativesOrganic metalloid saltOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganic saltOrganoboron compoundOrganoheterocyclic compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPhenylalanine or derivativesPyrazinePyrazine carboxylic acid or derivativesPyrazinecarboxamideSecondary carboxylic acid amide",DB00188,Bortezomib
Ethchlorvynol,"Ethchlorvynol is a sedative and hypnotic drug. It has been used to treat insomnia, but has been largely superseded and is only offered where an intolerance or allergy to other drugs exists.","This compound belongs to the class of organic compounds known as ynones. These are organic compounds containing the ynone functional group, an alpha,beta unsaturated ketone group with the general structure  RC#C-C(=O)R' (R'  not H).YnonesOrganic compoundsOrganic oxygen compoundsOrganooxygen compoundsCarbonyl compoundsAcetylidesChloroalkenesHydrocarbon derivativesOrganochloridesTertiary alcoholsVinyl chloridesAcetylideAlcoholAliphatic acyclic compoundChloroalkeneHaloalkeneHydrocarbon derivativeOrganochlorideOrganohalogen compoundTertiary alcoholVinyl chlorideVinyl halideYnone",DB00189,Placidyl Cap 200mg
Carbidopa,"Carbidopa presents a chemical denomination of N-amino-alpha-methyl-3-hydroxy-L-tyrosine monohydrate. It potently inhibits aromatic amino acid decarboxylase (DDC) and due to its chemical properties, it does not cross the blood-brain barrier. Due to its activity, carbidopa is always administered concomitantly with [levodopa]. An individual formulation containing solely carbidopa was generated to treat nausea in patients where the combination therapy [levodopa]/carbidopa is not efficient reducing nausea.[T394] 

The first approved product by the FDA containing only carbidopa was developed by Amerigens Pharmaceuticals Ltd and approved on 2014.[L5110] On the other hand, the combination treatment of carbidopa/levodopa was originally developed by Watson Labs but the historical information by the FDA brings back to the approval of this combination therapy developed by Mayne Pharma in 1992.[L5113]",This compound belongs to the class of organic compounds known as phenylpropanoic acids. These are compounds with a structure containing a benzene ring conjugated to a propanoic acid.Phenylpropanoic acidsOrganic compoundsPhenylpropanoids and polyketidesPhenylpropanoic acids1-hydroxy-2-unsubstituted benzenoids1-hydroxy-4-unsubstituted benzenoidsAlkylhydrazinesAlpha amino acids and derivativesAmphetamines and derivativesCarbonyl compoundsCarboxylic acidsCatecholsHydrocarbon derivativesMonocarboxylic acids and derivativesOrganic oxidesOrganopnictogen compoundsPhenylpropanes1-hydroxy-2-unsubstituted benzenoid1-hydroxy-4-unsubstituted benzenoid3-phenylpropanoic-acidAlkylhydrazineAlpha-amino acid or derivativesAmphetamine or derivativesAromatic homomonocyclic compoundBenzenoidCarbonyl groupCarboxylic acidCarboxylic acid derivativeCatecholHydrazine derivativeHydrocarbon derivativeMonocarboxylic acid or derivativesMonocyclic benzene moietyOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPhenolPhenylpropane,DB00190,Aa-levocarb CR
Phentermine,"Phentermine is a sympathomimetic amine anorectic agent and it was introduced in 1959 as part of an anti-obesity combination drug.[A174361, A174364] It is chemically related to amphetamine and it is commonly referred to as an atypical amphetamine.[A174370] Phentermine has not been reported an addictive potential which allows this agent to be classified under the Schedule IV drugs (low abuse potential).[A174367]

Phentermine was FDA approved for short-term weight management in 1959 and it became widely used in 1960. This initial product, formed by the combination of phentermine with [fenfluramine] and [dexfenfluramine] was discontinued after finding several reports of abnormal valves in nearly 30% of the consumers.[A174376, T403] Later on, phentermine was approved alone and in combination with topiramate in 2012 as a new alternative that required lower doses of phentermine to obtain the desired effect.[A174373]",This compound belongs to the class of organic compounds known as amphetamines and derivatives. These are organic compounds containing or derived from 1-phenylpropan-2-amine.Amphetamines and derivativesOrganic compoundsBenzenoidsBenzene and substituted derivativesPhenethylaminesAralkylaminesHydrocarbon derivativesMonoalkylaminesOrganopnictogen compoundsPhenylpropanesAmineAmphetamine or derivativesAralkylamineAromatic homomonocyclic compoundHydrocarbon derivativeOrganic nitrogen compoundOrganonitrogen compoundOrganopnictogen compoundPhenylpropanePrimary aliphatic aminePrimary amine,DB00191,Adipex-P
Indecainide,Indecainide is a rarely used antidysrhythmic. Indecainide has local anesthetic activity and belongs to the membrane stabilizing (Class 1) group of antiarrhythmic agents; it has electrophysiologic effects characteristic of the IC class of antiarrhythmics.,"This compound belongs to the class of organic compounds known as fluorenes. These are compounds containing a fluorene moiety, which consists of two benzene rings connected through either a cyclopentane, cyclopentene, or cyclopenta-1,3-diene.FluorenesOrganic compoundsBenzenoidsFluorenesAralkylaminesCarbonyl compoundsDelta amino acids and derivativesDialkylaminesFatty amidesHydrocarbon derivativesOrganic oxidesOrganopnictogen compoundsPrimary carboxylic acid amidesAmineAmino acid or derivativesAralkylamineAromatic homopolycyclic compoundCarbonyl groupCarboxamide groupCarboxylic acid derivativeDelta amino acid or derivativesFatty acylFatty amideFluoreneHydrocarbon derivativeOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPrimary carboxylic acid amideSecondary aliphatic amineSecondary amine",DB00192,NA
Tramadol,"Tramadol is a centrally acting synthetic opioid analgesic and SNRI (serotonin/norepinephrine reuptake-inhibitor) that is structurally related to [codeine] and [morphine]. Due to its good tolerability profile and multimodal mechanism of action, tramadol is generally considered a lower-risk opioid option for the treatment of moderate to severe pain. It is considered a Step 2 option on the World Health Organization's pain ladder and has about 1/10th of the potency of [morphine]. 

Tramadol differs from other traditional opioid medications in that it doesn't just act as a μ-opioid agonist, but also affects monoamines by modulating the effects of neurotransmitters involved in the modulation of pain such as serotonin and norepinpehrine which activate descending pain inhibitory pathways.[A182279] Tramadol's effects on serotonin and norepinephrine mimic the effects of other SNRI antidepressants such as [duloxetine] and [venlafaxine].

Tramadol exists as a racemic mixture consisting of two pharmacologically active enantiomers that both contribute to its analgesic property through different mechanisms and are also themselves metabolized into active metabolites: (+)-tramadol and its primary metabolite (+)-O-desmethyl-tramadol (M1) are agonists of the μ opioid receptor while (+)-tramadol inhibits serotonin reuptake and (-)-tramadol inhibits norepinephrine reuptake. These pathways are complementary and synergistic, improving tramadol's ability to modulate the perception of and response to pain.[A4269,A183842] 

Tramadol has also been shown to affect a number of other pain modulators within the central nervous system as well as non-neuronal inflammatory markers and immune mediators.[A183728,A183734,A183761,A17159,A182300] Due to the broad spectrum of targets involved in pain and inflammation, it's not surprising that the evidence has shown that tramadol is effective for a number of pain types including neuropathic pain, post-operative pain, lower back pain, as well as pain associated with labour, osteoarthritis, fibromyalgia, and cancer. Due to its SNRI activity, tramadol also has anxiolytic, antidepressant, and anti-shivering effects which are all frequently found as comorbidities with pain.[A182300]

Similar to other opioid medications, tramadol poses a risk for development of tolerance, dependence and abuse. If used in higher doses, or with other opioids, there is a dose-related risk of overdose, respiratory depression, and death.[A183830,F4679] However, unlike other opioid medications, tramadol use also carries a risk of seizure and serotonin syndrome, particularly if used with other serotonergic medications.[A183836,A179926]",NA,DB00193,Act Tramadol/acet
Vidarabine,"A nucleoside antibiotic isolated from Streptomyces antibioticus. It has some antineoplastic properties and has broad spectrum activity against DNA viruses in cell cultures and significant antiviral activity against infections caused by a variety of viruses such as the herpes viruses, the vaccinia VIRUS and varicella zoster virus.","This compound belongs to the class of organic compounds known as purine nucleosides. These are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety.Purine nucleosidesOrganic compoundsNucleosides, nucleotides, and analoguesPurine nucleosides6-aminopurinesAminopyrimidines and derivativesAzacyclic compoundsGlycosylaminesHeteroaromatic compoundsHydrocarbon derivativesImidolactamsN-substituted imidazolesOrganopnictogen compoundsOxacyclic compoundsPentosesPrimary alcoholsPrimary aminesSecondary alcoholsTetrahydrofurans6-aminopurineAlcoholAmineAminopyrimidineAromatic heteropolycyclic compoundAzacycleAzoleGlycosyl compoundHeteroaromatic compoundHydrocarbon derivativeImidazoleImidazopyrimidineImidolactamMonosaccharideN-glycosyl compoundN-substituted imidazoleOrganic nitrogen compoundOrganic oxygen compoundOrganoheterocyclic compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundOxacyclePentose monosaccharidePrimary alcoholPrimary aminePurinePurine nucleosidePyrimidineSecondary alcoholTetrahydrofuran",DB00194,Vira-A
Betaxolol,A cardioselective beta-1-adrenergic antagonist with no partial agonist activity.,"This compound belongs to the class of organic compounds known as tyrosols and derivatives. These are compounds containing a hydroxyethyl group attached to the C4 carbon of a phenol group.Tyrosols and derivativesOrganic compoundsBenzenoidsPhenolsTyrosols and derivatives1,2-aminoalcoholsAlkyl aryl ethersDialkyl ethersDialkylaminesHydrocarbon derivativesOrganopnictogen compoundsPhenol ethersPhenoxy compoundsSecondary alcohols1,2-aminoalcoholAlcoholAlkyl aryl etherAmineAromatic homomonocyclic compoundDialkyl etherEtherHydrocarbon derivativeMonocyclic benzene moietyOrganic nitrogen compoundOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundPhenol etherPhenoxy compoundSecondary alcoholSecondary aliphatic amineSecondary amineTyrosol derivative",DB00195,Betaxolol
Fluconazole,"Fluconazole, commonly known as _Diflucan_, is an antifungal drug used for the treatment of both systemic and superficial fungal infections in a variety of tissues.  It was initially approved by the FDA in 1990. This drug is an _azole_ antifungal, in the same drug family as [ketoconazole] and [itraconazole]. Fluconazole has many advantages over the other antifungal drugs including the option of oral administration. The side effect profile of this drug is minimal. It has been demonstrated as an efficacious treatment for vaginal yeast infections in one single dose.[A174325]","This compound belongs to the class of organic compounds known as fluorobenzenes. These are compounds containing one or more fluorine atoms attached to a benzene ring.FluorobenzenesOrganic compoundsBenzenoidsBenzene and substituted derivativesHalobenzenesAromatic alcoholsAryl fluoridesAzacyclic compoundsHeteroaromatic compoundsHydrocarbon derivativesOrganofluoridesOrganonitrogen compoundsOrganopnictogen compoundsTertiary alcoholsTriazoles1,2,4-triazoleAlcoholAromatic alcoholAromatic heteromonocyclic compoundAryl fluorideAryl halideAzacycleAzoleFluorobenzeneHeteroaromatic compoundHydrocarbon derivativeOrganic nitrogen compoundOrganic oxygen compoundOrganofluorideOrganohalogen compoundOrganoheterocyclic compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundTertiary alcohol",DB00196,Act Fluconazole
Troglitazone,Troglitazone was withdrawn in 2000 due to risk of hepatotoxicity. It was superseded by [pioglitazone] and [rosiglitazone].,"This compound belongs to the class of organic compounds known as 1-benzopyrans. These are organic aromatic compounds that 1-benzopyran, a bicyclic compound made up of a benzene ring fused to a pyran, so that the oxygen atom is at the 1-position.1-benzopyransOrganic compoundsOrganoheterocyclic compoundsBenzopyrans1-benzopyransAlkyl aryl ethersAzacyclic compoundsCarbonyl compoundsDicarboximidesHydrocarbon derivativesOrganic carbonic acids and derivativesOrganic oxidesOrganonitrogen compoundsOrganopnictogen compoundsOxacyclic compoundsPhenol ethersPhenoxy compoundsThiazolidinedionesThiocarbamic acid derivatives1-benzopyranAlkyl aryl etherAromatic heteropolycyclic compoundAzacycleBenzenoidCarbonic acid derivativeCarbonyl groupCarboxylic acid derivativeDicarboximideEtherHydrocarbon derivativeMonocyclic benzene moietyOrganic nitrogen compoundOrganic oxideOrganic oxygen compoundOrganonitrogen compoundOrganooxygen compoundOrganopnictogen compoundOxacyclePhenol etherPhenoxy compoundThiazolidineThiazolidinedioneThiocarbamic acid derivative",DB00197,NA
